skin_group,n,malignant_n,non_malignant_n,accuracy,balanced_accuracy,auc,precision,sensitivity_recall,specificity,false_negative_rate,false_positive_rate,tp,fp,tn,fn
dark_FST5_6,376,42,334,0.875,0.7839321357285429,0.8721129170230967,0.45901639344262296,0.6666666666666666,0.9011976047904192,0.3333333333333333,0.09880239520958084,28,33,301,14
light_FST1_2,1423,239,1184,0.8011243851018974,0.7986719721813864,0.8728620094990388,0.4481132075471698,0.7949790794979079,0.8023648648648649,0.20502092050209206,0.19763513513513514,190,234,950,49
medium_FST3_4,1102,152,950,0.8557168784029038,0.8168421052631579,0.8991551246537397,0.48535564853556484,0.7631578947368421,0.8705263157894737,0.23684210526315788,0.12947368421052632,116,123,827,36
